Star Number,HIP,Vmag,dist (pc),Type, EEID (mas),EEID (AU),HZ inner edge (mas),HZ outer edge (mas),Snow line (mas),IWA (AU),L*/Lsun,Surface Brigthness Spectral Correction Factor,Exozodi Detection Limit at IWA (in zodi),Time to SNR (hours),Exozodi Level measured by LBTI at 11 microns,,,,,
1,37279,0.4,3.51,F5IV-V,757,2.66,719,1265,2499,0.53,7.081,1.03,488.28,,,,,"For stars 1 to 20 the best sensitivity to exozodi, which is reached at the IWA, is reached closer in than the HZ inner edge. (the HZ inner edge is > 150 mas)",,
2,97649,0.76,5.13,A7IV-V,629,3.23,597,1050,2075,0.77,10.408,1.07,469.30,,52 +/- 46,Altair,,,,
3,113368,1.17,7.70,A3V,530,4.09,504,886,1750,1.16,16.689,1.04,486.73,,,,,,,
4,57632,2.14,11.00,A3Vvar,343,3.77,326,572,1131,1.65,14.216,1.01,496.87,,103 +/- 11,Bet Leo,,,,"(if IWA = 0.3"" then there are only 12 stars where Hzin < IWA < Hzout, and the sensitivty is degrared by a factor of 4 wrt IWA =0.15"")"
5,67927,2.68,11.40,G0IV,271,3.09,257,452,894,1.71,9.526,0.99,510.07,,,,,,,"if IWA is 6l/D at 900nm = 0.47"", there is  none.   "
6,2021,2.82,7.46,G2IV,256,1.91,243,427,845,1.12,3.645,0.97,518.37,,,,,,,
7,107556,2.85,13.63,A5mF2(IV),242,3.29,230,404,798,2.04,10.857,1.06,475.39,,,,,,,
8,102422,3.41,14.35,K0IV,214,3.07,203,357,706,2.15,9.440,0.81,624.05,,,,,,,
9,22449,3.19,8.04,F6V,210,1.69,200,351,694,1.21,2.862,1.02,492.32,,38 +/- 36,1 Ori,,,,
10,17378,3.52,9.07,K0IV,204,1.85,194,340,672,1.36,3.417,0.81,625.79,,,,,,,
11,8102,3.49,3.60,G8V,194,0.70,184,323,639,0.54,0.486,0.92,549.23,,-7 +/- 44,Tau ceti,,Tau Ceti,,
12,95501,3.36,15.53,F0IV,191,2.97,182,319,631,2.33,8.802,1.06,475.05,,,,, ,,
13,99240,3.55,6.10,G5IV-Vvar,189,1.15,180,316,625,0.91,1.331,0.91,555.29,,,,,,,
14,3821,3.46,5.84,G0V,189,1.10,180,316,624,0.88,1.220,0.99,510.71,,,,,,,
15,16537,3.72,3.20,K2V,184,0.59,175,307,606,0.48,0.346,0.82,611.60,,297  +/- 56,eps Eri,,,,
16,98036,3.71,13.38,G8IVvar,183,2.45,174,306,604,2.01,5.994,0.84,601.65,,,,,,,
17,57757,3.59,11.12,F8V,176,1.96,167,294,581,1.67,3.835,1.01,498.60,,-25 +/- 23,bet Vir,,,,
18,27072,3.59,8.88,F7V,175,1.55,166,292,577,1.33,2.412,1.02,491.85,,,,,,,
19,28103,3.71,14.51,F1V,163,2.36,154,272,537,2.18,5.564,1.06,474.69,,,,,,,
20,109176,3.77,11.80,F5V,160,1.89,152,268,529,1.77,3.580,1.03,488.08,,,,,,,
21,78072,3.85,11.18,F6V,155,1.73,147,259,512,1.68,3.006,1.03,491.39,,-4 +/- 25,gam Ser,,"For stars 21 to 81, CGI's best exozodi sensitivity is reached in the HZ. ",,
22,27321,3.85,19.75,A3V,153,3.02,145,256,505,2.96,9.140,1.05,478.51,,,,,,,
23,14632,4.05,10.51,G0V,144,1.52,137,241,477,1.58,2.305,0.98,512.65,10,checked with Bijan on 2/5/20,,,,,
24,50954,3.99,16.14,F2IV,143,2.32,136,240,473,2.42,5.361,1.05,478.11,,,,,,,
25,70497,4.04,14.39,F7V,143,2.05,135,238,470,2.16,4.208,1.02,494.41,,148 +/- 28,Tet Boo,,,,
26,59199,4.02,14.95,F0IV/V,141,2.11,134,235,465,2.24,4.441,1.06,474.51,,,,,,,
27,7513,4.1,13.41,F8V,140,1.87,133,233,461,2.01,3.516,1.00,502.78,,-130 +/- 41,Ups And,,,,
28,12777,4.1,11.15,F7V,139,1.55,132,232,459,1.67,2.405,1.01,497.71,,,,,,,
